time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006000,-0.1327,0.0153,0.0777,0.154
0.007000,-0.1667,-0.0387,0.1315,0.216
0.007000,-0.1124,-0.0693,0.0831,0.156
0.008000,-0.1075,-0.0730,0.0402,0.136
0.011000,-0.1435,-0.0802,0.1076,0.197
0.013000,-0.1274,-0.0613,0.1037,0.175
0.024000,-0.0675,-0.0756,0.0141,0.102
0.025000,-0.0874,-0.0868,0.0052,0.123
0.027000,-0.1398,-0.0679,0.0176,0.156
0.038000,-0.1414,-0.0327,0.0593,0.157
0.041000,-0.1343,-0.0553,0.0403,0.151
0.044000,-0.1057,-0.0656,0.0780,0.147
0.057000,-0.1017,-0.0456,0.0908,0.144
0.058000,-0.1286,-0.0662,0.0953,0.173
0.058000,-0.1094,-0.0675,0.0698,0.146
0.070000,-0.0839,-0.0516,0.0602,0.115
0.072000,-0.1078,-0.0547,0.0732,0.141
0.076000,-0.1163,-0.0454,0.0494,0.134
0.078000,-0.0932,-0.0238,0.0499,0.108
0.082000,-0.1000,-0.0663,0.0940,0.152
0.088000,-0.0900,-0.0771,0.0903,0.149
0.093000,-0.1039,-0.0350,0.0885,0.141
0.104000,-0.1160,-0.0886,0.0599,0.158
0.107000,-0.1105,-0.0695,0.0713,0.149
0.109000,-0.1248,-0.0489,0.0746,0.153
0.112000,-0.1261,-0.0322,0.0704,0.148
0.117000,-0.1003,-0.0506,0.0800,0.138
0.122000,-0.0855,-0.0878,0.1176,0.170
0.127000,-0.0877,-0.0669,0.1117,0.157
0.132000,-0.1014,-0.0485,0.1466,0.185
0.137000,-0.0934,-0.0429,0.0970,0.141
0.142000,-0.0860,-0.0636,0.0489,0.118
0.158000,-0.1048,-0.0342,0.0807,0.137
0.158000,-0.0734,-0.0708,0.0498,0.113
0.159000,-0.0962,-0.0542,0.0693,0.130
0.162000,-0.0935,-0.0508,0.0938,0.142
0.167000,-0.1226,-0.0665,0.0951,0.169
0.172000,-0.1180,-0.0709,0.0999,0.170
0.177000,-0.1178,-0.0450,0.0973,0.159
0.182000,-0.1036,-0.0569,0.0819,0.144
0.188000,-0.1263,-0.0712,0.0783,0.165
0.192000,-0.1277,-0.0769,0.0564,0.159
0.197000,-0.1264,-0.0902,0.0798,0.175
0.202000,-0.1388,-0.0815,0.0769,0.178
0.207000,-0.1217,-0.0896,0.1452,0.210
0.212000,-0.1254,-0.0567,0.0927,0.166
0.217000,-0.1198,-0.0633,0.0792,0.157
0.223000,-0.1183,-0.0768,0.0556,0.152
0.228000,-0.1587,-0.0438,0.0763,0.181
0.233000,-0.0957,-0.0222,0.0430,0.107
0.238000,-0.1129,-0.0012,0.0925,0.146
0.243000,-0.1185,-0.0542,0.1124,0.172
0.247000,-0.1159,-0.0317,0.0816,0.145
0.262000,-0.1318,-0.0490,0.0984,0.172
0.263000,-0.1155,-0.0547,0.0767,0.149
0.263000,-0.0925,-0.0555,0.1313,0.170
0.268000,-0.0826,-0.0743,0.0890,0.142
0.273000,-0.1128,-0.0253,0.0881,0.145
0.278000,-0.1411,-0.0824,0.0815,0.183
0.283000,-0.1268,-0.0387,0.0690,0.149
0.288000,-0.1098,-0.0811,0.0633,0.150
0.293000,-0.0838,-0.0640,0.0615,0.122
0.298000,-0.0762,-0.0740,0.0840,0.135
0.303000,-0.0950,-0.0703,0.0636,0.134
0.308000,-0.0926,-0.0862,0.0794,0.149
0.313000,-0.1029,-0.0632,0.0739,0.142
0.318000,-0.1125,-0.0427,0.0436,0.128
0.323000,-0.1029,-0.0264,0.0392,0.113
0.328000,-0.1172,-0.0621,0.0795,0.155
0.333000,-0.1212,-0.0363,0.0699,0.145
0.338000,-0.0822,-0.0353,0.0322,0.095
